
2026-04-28 08:52:27 [1/33] Using 32 available CPUs: [0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31].
---- Running throughput benchmarks with up to 32 CPUs (higher is better) ----
     boost::lockfree::spsc_queue, 1,s:  35,127,458 msg/sec
     boost::lockfree::spsc_queue, 1,i:  34,225,674 msg/sec
          boost::lockfree::queue, 1,s:   2,260,880 msg/sec
          boost::lockfree::queue, 1,i:   2,273,913 msg/sec
          boost::lockfree::queue, 2,s:   1,685,042 msg/sec
          boost::lockfree::queue, 2,i:   1,712,537 msg/sec
          boost::lockfree::queue, 3,s:   1,444,352 msg/sec
          boost::lockfree::queue, 3,i:   1,416,760 msg/sec
          boost::lockfree::queue, 4,s:   1,289,825 msg/sec
          boost::lockfree::queue, 4,i:   1,283,652 msg/sec
          boost::lockfree::queue, 5,s:     781,511 msg/sec
          boost::lockfree::queue, 5,i:     855,558 msg/sec
          boost::lockfree::queue, 6,s:     425,244 msg/sec
          boost::lockfree::queue, 6,i:     816,338 msg/sec
          boost::lockfree::queue, 7,s:     406,406 msg/sec
          boost::lockfree::queue, 7,i:     856,876 msg/sec
          boost::lockfree::queue, 8,s:     340,333 msg/sec
          boost::lockfree::queue, 8,i:     538,505 msg/sec
          boost::lockfree::queue, 9,s:     418,742 msg/sec
          boost::lockfree::queue, 9,i:     544,758 msg/sec
          boost::lockfree::queue,10,s:     456,426 msg/sec
          boost::lockfree::queue,10,i:     576,958 msg/sec
          boost::lockfree::queue,11,s:     534,612 msg/sec
          boost::lockfree::queue,11,i:     546,687 msg/sec
          boost::lockfree::queue,12,s:     509,134 msg/sec
          boost::lockfree::queue,12,i:     499,444 msg/sec
          boost::lockfree::queue,13,s:     484,704 msg/sec
          boost::lockfree::queue,13,i:     490,592 msg/sec
          boost::lockfree::queue,14,s:     461,549 msg/sec
          boost::lockfree::queue,14,i:     495,755 msg/sec
          boost::lockfree::queue,15,s:     458,690 msg/sec
          boost::lockfree::queue,15,i:     465,079 msg/sec
          boost::lockfree::queue,16,s:     451,434 msg/sec
          boost::lockfree::queue,16,i:     441,929 msg/sec
   moodycamel::ReaderWriterQueue, 1,s: 262,642,562 msg/sec
   moodycamel::ReaderWriterQueue, 1,i:  32,365,220 msg/sec
     moodycamel::ConcurrentQueue, 1,s:   4,172,543 msg/sec
     moodycamel::ConcurrentQueue, 1,i:   4,224,327 msg/sec
     moodycamel::ConcurrentQueue, 2,s:   8,462,100 msg/sec
     moodycamel::ConcurrentQueue, 2,i:   8,558,569 msg/sec
     moodycamel::ConcurrentQueue, 3,s:  11,768,883 msg/sec
     moodycamel::ConcurrentQueue, 3,i:  10,997,429 msg/sec
     moodycamel::ConcurrentQueue, 4,s:  17,630,690 msg/sec
     moodycamel::ConcurrentQueue, 4,i:  17,959,255 msg/sec
     moodycamel::ConcurrentQueue, 5,s:  19,641,495 msg/sec
     moodycamel::ConcurrentQueue, 5,i:  18,233,035 msg/sec
     moodycamel::ConcurrentQueue, 6,s:  20,342,621 msg/sec
     moodycamel::ConcurrentQueue, 6,i:  24,560,751 msg/sec
     moodycamel::ConcurrentQueue, 7,s:  22,512,765 msg/sec
     moodycamel::ConcurrentQueue, 7,i:  25,955,248 msg/sec
     moodycamel::ConcurrentQueue, 8,s:  23,266,040 msg/sec
     moodycamel::ConcurrentQueue, 8,i:  42,922,971 msg/sec
     moodycamel::ConcurrentQueue, 9,s:  36,593,821 msg/sec
     moodycamel::ConcurrentQueue, 9,i:  62,915,628 msg/sec
     moodycamel::ConcurrentQueue,10,s:  81,349,543 msg/sec
     moodycamel::ConcurrentQueue,10,i:  82,762,383 msg/sec
     moodycamel::ConcurrentQueue,11,s:  64,212,294 msg/sec
     moodycamel::ConcurrentQueue,11,i:  53,531,555 msg/sec
     moodycamel::ConcurrentQueue,12,s:  61,703,230 msg/sec
     moodycamel::ConcurrentQueue,12,i:  61,881,216 msg/sec
     moodycamel::ConcurrentQueue,13,s:  96,727,492 msg/sec
     moodycamel::ConcurrentQueue,13,i:  75,745,656 msg/sec
     moodycamel::ConcurrentQueue,14,s:  85,215,735 msg/sec
     moodycamel::ConcurrentQueue,14,i:  92,414,108 msg/sec
     moodycamel::ConcurrentQueue,15,s: 118,355,542 msg/sec
     moodycamel::ConcurrentQueue,15,i: 117,455,604 msg/sec
     moodycamel::ConcurrentQueue,16,s: 147,765,883 msg/sec
     moodycamel::ConcurrentQueue,16,i: 137,700,040 msg/sec
                pthread_spinlock, 1,s:   4,832,800 msg/sec
                pthread_spinlock, 1,i:   4,888,600 msg/sec
                pthread_spinlock, 2,s:   2,297,543 msg/sec
                pthread_spinlock, 2,i:     683,913 msg/sec
                pthread_spinlock, 3,s:     195,373 msg/sec
pthread_spinlock: producers: 3: consumer 2 received too few messages: 0.05% of expected.
                pthread_spinlock, 3,i:   1,549,632 msg/sec
                pthread_spinlock, 4,s:     639,097 msg/sec
                pthread_spinlock, 4,i:     530,807 msg/sec
                pthread_spinlock, 5,s:     786,976 msg/sec
                pthread_spinlock, 5,i:     200,840 msg/sec
                pthread_spinlock, 6,s:     641,331 msg/sec
                pthread_spinlock, 6,i:     832,298 msg/sec
                pthread_spinlock, 7,s:     861,355 msg/sec
                pthread_spinlock, 7,i:     851,945 msg/sec
                pthread_spinlock, 8,s:     888,859 msg/sec
                pthread_spinlock, 8,i:     721,476 msg/sec
                pthread_spinlock, 9,s:     836,389 msg/sec
                pthread_spinlock, 9,i:     612,222 msg/sec
                pthread_spinlock,10,s:     805,075 msg/sec
                pthread_spinlock,10,i:     655,903 msg/sec
                pthread_spinlock,11,s:     648,812 msg/sec
                pthread_spinlock,11,i:     764,475 msg/sec
                pthread_spinlock,12,s:     718,003 msg/sec
                pthread_spinlock,12,i:     671,781 msg/sec
                pthread_spinlock,13,s:     691,768 msg/sec
                pthread_spinlock,13,i:     597,478 msg/sec
