[1] 299m:59s to go...
---- Running throughput benchmarks (higher is better) ----
     boost::lockfree::spsc_queue, 1,s:  92,805,012 msg/sec
     boost::lockfree::spsc_queue, 1,i:  85,748,585 msg/sec
          boost::lockfree::queue, 1,s:   9,402,586 msg/sec
          boost::lockfree::queue, 1,i:   9,448,402 msg/sec
          boost::lockfree::queue, 2,s:   3,511,237 msg/sec
          boost::lockfree::queue, 2,i:   3,616,504 msg/sec
          boost::lockfree::queue, 3,s:   3,166,129 msg/sec
          boost::lockfree::queue, 3,i:   3,191,315 msg/sec
          boost::lockfree::queue, 4,s:   2,421,581 msg/sec
          boost::lockfree::queue, 4,i:   2,418,832 msg/sec
          boost::lockfree::queue, 5,s:   2,028,624 msg/sec
          boost::lockfree::queue, 5,i:   1,767,527 msg/sec
          boost::lockfree::queue, 6,s:   1,390,927 msg/sec
          boost::lockfree::queue, 6,i:   1,492,771 msg/sec
          boost::lockfree::queue, 7,s:   1,191,801 msg/sec
          boost::lockfree::queue, 7,i:   1,263,544 msg/sec
          boost::lockfree::queue, 8,s:     961,745 msg/sec
          boost::lockfree::queue, 8,i:   1,122,331 msg/sec
                  TicketSpinlock, 1,s:   7,981,588 msg/sec
                  TicketSpinlock, 1,i:   8,007,505 msg/sec
                  TicketSpinlock, 2,s:   3,149,227 msg/sec
                  TicketSpinlock, 2,i:   3,291,525 msg/sec
                  TicketSpinlock, 3,s:   2,691,451 msg/sec
                  TicketSpinlock, 3,i:   2,722,262 msg/sec
                  TicketSpinlock, 4,s:   2,311,849 msg/sec
                  TicketSpinlock, 4,i:   2,319,748 msg/sec
                  TicketSpinlock, 5,s:   1,916,525 msg/sec
                  TicketSpinlock, 5,i:   1,933,050 msg/sec
                  TicketSpinlock, 6,s:   1,684,810 msg/sec
                  TicketSpinlock, 6,i:   1,703,729 msg/sec
                  TicketSpinlock, 7,s:   1,464,806 msg/sec
                  TicketSpinlock, 7,i:   1,476,331 msg/sec
                  TicketSpinlock, 8,s:   1,314,498 msg/sec
                  TicketSpinlock, 8,i:   1,321,330 msg/sec
   moodycamel::ReaderWriterQueue, 1,s: 300,916,591 msg/sec
   moodycamel::ReaderWriterQueue, 1,i: 306,752,230 msg/sec
     moodycamel::ConcurrentQueue, 1,s:  15,602,585 msg/sec
     moodycamel::ConcurrentQueue, 1,i:  15,772,636 msg/sec
     moodycamel::ConcurrentQueue, 2,s:  13,391,448 msg/sec
     moodycamel::ConcurrentQueue, 2,i:   8,968,468 msg/sec
