[1/33] ---- Running throughput benchmarks (higher is better) ----
     boost::lockfree::spsc_queue, 1,s:  22,339,144 msg/sec
     boost::lockfree::spsc_queue, 1,i:  23,772,958 msg/sec
          boost::lockfree::queue, 1,s:   3,023,750 msg/sec
          boost::lockfree::queue, 2,s:   2,611,436 msg/sec
          boost::lockfree::queue, 3,s:   2,490,983 msg/sec
          boost::lockfree::queue, 4,s:   2,359,735 msg/sec
          boost::lockfree::queue, 5,s:   2,354,618 msg/sec
          boost::lockfree::queue, 6,s:   2,185,883 msg/sec
          boost::lockfree::queue, 7,s:   2,010,097 msg/sec
          boost::lockfree::queue, 8,s:     994,908 msg/sec
          boost::lockfree::queue, 9,s:   1,022,046 msg/sec
          boost::lockfree::queue,10,s:     794,682 msg/sec
          boost::lockfree::queue,11,s:     768,945 msg/sec
          boost::lockfree::queue,12,s:     758,186 msg/sec
          boost::lockfree::queue,13,s:     766,385 msg/sec
          boost::lockfree::queue,14,s:     789,379 msg/sec
          boost::lockfree::queue, 1,i:   3,103,411 msg/sec
          boost::lockfree::queue, 2,i:   2,713,819 msg/sec
          boost::lockfree::queue, 3,i:   2,520,321 msg/sec
          boost::lockfree::queue, 4,i:   2,372,994 msg/sec
          boost::lockfree::queue, 5,i:   2,326,305 msg/sec
          boost::lockfree::queue, 6,i:   2,211,374 msg/sec
          boost::lockfree::queue, 7,i:   2,097,616 msg/sec
          boost::lockfree::queue, 8,i:   1,581,321 msg/sec
          boost::lockfree::queue, 9,i:   1,211,916 msg/sec
          boost::lockfree::queue,10,i:   1,148,657 msg/sec
          boost::lockfree::queue,11,i:   1,084,962 msg/sec
          boost::lockfree::queue,12,i:   1,041,700 msg/sec
          boost::lockfree::queue,13,i:     951,323 msg/sec
          boost::lockfree::queue,14,i:     967,411 msg/sec
                pthread_spinlock, 1,s:   9,959,512 msg/sec
                pthread_spinlock, 2,s:   5,376,662 msg/sec
                pthread_spinlock, 3,s:   4,143,034 msg/sec
                pthread_spinlock, 4,s:   3,365,954 msg/sec
                pthread_spinlock, 5,s:   2,933,126 msg/sec
                pthread_spinlock, 6,s:   2,543,476 msg/sec
                pthread_spinlock, 7,s:   2,249,577 msg/sec
                pthread_spinlock, 8,s:   1,223,818 msg/sec
                pthread_spinlock, 9,s:   1,144,635 msg/sec
                pthread_spinlock,10,s:   1,067,566 msg/sec
                pthread_spinlock,11,s:   1,053,003 msg/sec
                pthread_spinlock,12,s:   1,046,442 msg/sec
                pthread_spinlock,13,s:   1,050,508 msg/sec
                pthread_spinlock,14,s:   1,020,136 msg/sec
                pthread_spinlock, 1,i:  10,086,919 msg/sec
                pthread_spinlock, 2,i:   5,478,601 msg/sec
                pthread_spinlock, 3,i:   4,159,282 msg/sec
                pthread_spinlock, 4,i:   3,411,137 msg/sec
                pthread_spinlock, 5,i:   2,978,013 msg/sec
                pthread_spinlock, 6,i:   2,571,041 msg/sec
                pthread_spinlock, 7,i:   2,247,053 msg/sec
                pthread_spinlock, 8,i:   1,931,605 msg/sec
                pthread_spinlock, 9,i:   1,669,943 msg/sec
                pthread_spinlock,10,i:   1,418,034 msg/sec
                pthread_spinlock,11,i:   1,269,021 msg/sec
